S.No.,Country ,Population(2020),Density(P/Km²),Med.Age,UrbanPop %,con 
181,Vanuatu,307145,25,21,24,Vanuatu
182,French Guiana,298682,4,25,87,French Guiana
183,Barbados,287375,668,40,31,Barbados
184,New Caledonia,285498,16,34,72,New Caledonia
185,French Polynesia,280908,77,34,64,French Polynesia
186,Mayotte,272815,728,20,46,Mayotte
187,Sao Tome & Principe,219159,228,19,74,Sao Tome & Principe
188,Samoa,198414,70,22,18,Samoa
189,Saint Lucia,183627,301,34,19,Saint Lucia
190,Channel Islands,173863,915,43,30,Channel Islands
191,Guam,168775,313,31,85,Guam
192,Curaçao,164093,370,42,89,Curaçao
193,Kiribati,119449,147,23,57,Kiribati
194,Micronesia,115023,164,24,21,Micronesia
195,Grenada,112523,331,32,35,Grenada
196,St. Vincent & Grenadines,110940,284,33,53,St. Vincent & Grenadines
197,Aruba,106766,593,41,44,Aruba
198,Tonga,105695,147,22,24,Tonga
199,U.S. Virgin Islands,104425,298,43,76,U.S. Virgin Islands
200,Seychelles,98347,214,34,56,Seychelles
201,Antigua and Barbuda,97929,223,34,26,Antigua and Barbuda
202,Isle of Man,85033,149,N.A.,53,Isle of Man
203,Andorra,77265,164,44.9,88,Andorra
204,Dominica,71986,96,34,74,Dominica
205,Cayman Islands,65722,274,,77,Cayman Islands
206,Bermuda,62278,1246,N.A.,77,Bermuda
207,Marshall Islands,59190,329,N.A.,70,Marshall Islands
208,Northern Mariana Islands,57559,125,N.A.,88,Northern Mariana Islands
209,Greenland,56770,0,N.A.,87,Greenland
210,American Samoa,55191,276,N.A.,88,American Samoa
211,Saint Kitts & Nevis,53199,205,N.A.,33,Saint Kitts & Nevis
212,Faeroe Islands,48863,35,N.A.,43,Faeroe Islands
213,Sint Maarten,42876,1261,N.A.,86,Sint Maarten
214,Monaco,39242,26337,53.1,98,Monaco
215,Turks and Caicos,38717,41,N.A.,89,Turks and Caicos
216,Saint Martin,38666,730,N.A.,0,Saint Martin
217,Liechtenstein,38128,238,41.4,15,Liechtenstein
218,San Marino,33931,566,47,87,San Marino
219,Gibraltar,33691,3369,N.A.,N.A.,Gibraltar
220,British Virgin Islands,30231,202,N.A.,53,British Virgin Islands
221,Caribbean Netherlands,26223,80,N.A.,75,Caribbean Netherlands
222,Palau,18094,39,N.A.,N.A.,Palau
223,Cook Islands,17564,73,N.A.,75,Cook Islands
224,Anguilla,15003,167,N.A.,N.A.,Anguilla
225,Tuvalu,11792,393,N.A.,62,Tuvalu
226,Wallis & Futuna,11239,80,N.A.,0,Wallis & Futuna
227,Nauru,10824,541,N.A.,N.A.,Nauru
228,Saint Barthelemy,9877,470,N.A.,9,Saint Barthelemy
229,Saint Helena,6077,16,N.A.,27,Saint Helena
230,Saint Pierre & Miquelon,5794,25,N.A.,90,Saint Pierre & Miquelon
231,Montserrat,4992,50,N.A.,10,Montserrat
232,Falkland Islands,3480,0,N.A.,66,Falkland Islands
233,Niue,1626,6,N.A.,46,Niue
234,Tokelau,1357,136,N.A.,0,Tokelau
235,Holy See,801,5186,40,88,Holy See
